fila,subfila,columna,subcolumna,valor
Granada,87 OTRAS MANUFACTURAS DE CONSUMO,2019,EXPORT,"23054378,76"
Granada,90 OTRAS MERCANCIAS,2019,EXPORT,"11494683,62"
Huelva,Total seleccionado,2019,EXPORT,"7100264710,84"
Huelva,11 PRODUCTOS CÁRNICOS,2019,EXPORT,"14243446,26"
Huelva,12 LACTEOS Y HUEVOS,2019,EXPORT,"416361,64"
Huelva,13 PRODUCTOS PESQUEROS,2019,EXPORT,"49143407,25"
Huelva,14 CEREALES,2019,EXPORT,"5192110,60"
Huelva,"15 FRUTAS, HORTALIZAS Y LEGUMBRES",2019,EXPORT,"1320303821,52"
Huelva,"16 AZUCAR, CAFE Y CACAO",2019,EXPORT,"39445,30"
Huelva,17 PREPARADOS ALIMENTICIOS,2019,EXPORT,"330398,51"
Huelva,18 BEBIDAS,2019,EXPORT,"1556222,52"
Huelva,19 TABACOS,2019,EXPORT,"198673,43"
Huelva,1A GRASAS Y ACEITES,2019,EXPORT,"46859516,95"
Huelva,1B SEMILLAS Y FRUTOS OLEAGINOSOS,2019,EXPORT,"31237,21"
Huelva,1C PIENSOS ANIMALES,2019,EXPORT,"2822077,26"
Huelva,21 CARBON,2019,EXPORT,"4954190,21"
Huelva,22 PETROLEO Y DERIVADOS,2019,EXPORT,"1607947495,33"
Huelva,23 GAS,2019,EXPORT,"91871351,66"
Huelva,24 CORRIENTE ELECTRICA,2019,EXPORT,
Huelva,31 MAT. PRIMAS ANIMALES Y VEGETAL,2019,EXPORT,"36995298,03"
Huelva,32 MENAS Y MINERALES,2019,EXPORT,"1819643777,80"
Huelva,41 METALES NO FERROSOS,2019,EXPORT,"588421793,68"
Huelva,42 HIERRO Y ACERO,2019,EXPORT,"2834661,01"
Huelva,43 PRODUCTOS QUIMICOS,2019,EXPORT,"870381535,71"
Huelva,44 OTRAS SEMIMANUFACTURAS,2019,EXPORT,"44717100,66"
