fila,subfila,columna,subcolumna,valor
AF - Africa,2006,IMPORT,,"21073,04"
AF - Africa,2005,IMPORT,,"17716,61"
AF - Africa,2007,IMPORT,,"21008,00"
AF - Africa,2009,IMPORT,,"16611,98"
AF - Africa,2008,IMPORT,,"26527,40"
AF - Africa,2010,IMPORT,,"21556,47"
AF - Africa,2011,IMPORT,,"23446,05"
AF - Africa,2012,IMPORT,,"27837,25"
AF - Africa,2013,IMPORT,,"28327,26"
AF - Africa,2014,IMPORT,,"28130,00"
AF - Africa,2015,IMPORT,,"23914,24"
AF - Africa,2016,IMPORT,,"19924,02"
AF - Africa,2018,IMPORT,,"27724,12"
AF - Africa,2017,IMPORT,,"24153,12"
AF - Africa,2019,IMPORT,,"27206,47"
AF - Africa,2020,IMPORT,,"15843,65"
AM - América,Total seleccionado,IMPORT,,"582325,97"
AM - América,1995,IMPORT,,"9687,90"
AM - América,1996,IMPORT,,"10249,81"
AM - América,1997,IMPORT,,"12042,39"
AM - América,1998,IMPORT,,"12212,59"
AM - América,1999,IMPORT,,"13510,86"
AM - América,2000,IMPORT,,"16271,11"
AM - América,2001,IMPORT,,"15715,51"
AM - América,2002,IMPORT,,"15416,16"
AM - América,2003,IMPORT,,"15039,80"
AM - América,2004,IMPORT,,"16782,72"
AM - América,2006,IMPORT,,"23939,70"
AM - América,2005,IMPORT,,"20051,57"
AM - América,2007,IMPORT,,"24773,99"
AM - América,2009,IMPORT,,"19849,42"
AM - América,2008,IMPORT,,"28131,29"
AM - América,2010,IMPORT,,"25163,21"
AM - América,2011,IMPORT,,"29500,91"
AM - América,2012,IMPORT,,"32462,73"
AM - América,2013,IMPORT,,"30320,65"
AM - América,2014,IMPORT,,"29122,71"
AM - América,2015,IMPORT,,"28808,06"
AM - América,2016,IMPORT,,"28297,88"
AM - América,2018,IMPORT,,"33636,85"
AM - América,2017,IMPORT,,"32693,25"
AM - América,2019,IMPORT,,"34008,49"
AM - América,2020,IMPORT,,"24636,42"
AS - Asia,Total seleccionado,IMPORT,,"994722,46"
AS - Asia,1995,IMPORT,,"10411,52"
AS - Asia,1996,IMPORT,,"11027,31"
AS - Asia,1997,IMPORT,,"13616,09"
AS - Asia,1998,IMPORT,,"15276,01"
AS - Asia,1999,IMPORT,,"17928,54"
AS - Asia,2000,IMPORT,,"22945,27"
AS - Asia,2001,IMPORT,,"22228,25"
AS - Asia,2002,IMPORT,,"23083,20"
AS - Asia,2003,IMPORT,,"24834,76"
AS - Asia,2004,IMPORT,,"30437,63"
AS - Asia,2006,IMPORT,,"43883,07"
AS - Asia,2005,IMPORT,,"36585,86"
AS - Asia,2007,IMPORT,,"48447,42"
AS - Asia,2009,IMPORT,,"36588,33"
AS - Asia,2008,IMPORT,,"52723,20"
AS - Asia,2010,IMPORT,,"46226,33"
AS - Asia,2011,IMPORT,,"51871,14"
AS - Asia,2012,IMPORT,,"47667,50"
AS - Asia,2013,IMPORT,,"44065,15"
AS - Asia,2014,IMPORT,,"47511,38"
AS - Asia,2015,IMPORT,,"51974,10"
AS - Asia,2016,IMPORT,,"53184,66"
AS - Asia,2018,IMPORT,,"66140,00"
AS - Asia,2017,IMPORT,,"60917,84"
AS - Asia,2019,IMPORT,,"67155,60"
AS - Asia,2020,IMPORT,,"47992,31"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),Total seleccionado,IMPORT,,"3313831,13"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),1995,IMPORT,,"58357,39"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),1996,IMPORT,,"63524,59"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),1997,IMPORT,,"73095,05"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),1998,IMPORT,,"84892,69"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),1999,IMPORT,,"95474,22"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2000,IMPORT,,"110403,57"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2001,IMPORT,,"114381,41"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2002,IMPORT,,"116299,03"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2003,IMPORT,,"123080,68"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2004,IMPORT,,"135244,63"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2006,IMPORT,,"154815,80"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2005,IMPORT,,"142867,85"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2007,IMPORT,,"171094,34"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2009,IMPORT,,"118832,62"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2008,IMPORT,,"157079,90"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2010,IMPORT,,"129410,36"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2011,IMPORT,,"136776,83"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2012,IMPORT,,"128258,35"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2013,IMPORT,,"128044,13"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2014,IMPORT,,"140142,60"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2015,IMPORT,,"152297,81"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2016,IMPORT,,"154564,84"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2018,IMPORT,,"170430,86"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2017,IMPORT,,"164418,53"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2019,IMPORT,,"169622,88"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2020,IMPORT,,"120420,19"
OC - Oceanía,Total seleccionado,IMPORT,,"20232,60"
OC - Oceanía,1995,IMPORT,,"334,85"
OC - Oceanía,1996,IMPORT,,"286,85"
OC - Oceanía,1997,IMPORT,,"401,00"
OC - Oceanía,1998,IMPORT,,"434,90"
OC - Oceanía,1999,IMPORT,,"498,96"
OC - Oceanía,2000,IMPORT,,"658,51"
OC - Oceanía,2001,IMPORT,,"675,96"
OC - Oceanía,2002,IMPORT,,"654,29"
OC - Oceanía,2003,IMPORT,,"671,75"
OC - Oceanía,2004,IMPORT,,"746,86"
OC - Oceanía,2006,IMPORT,,"1277,54"
OC - Oceanía,2005,IMPORT,,"1051,88"
OC - Oceanía,2007,IMPORT,,"1186,95"
OC - Oceanía,2009,IMPORT,,"694,57"
OC - Oceanía,2008,IMPORT,,"1157,49"
OC - Oceanía,2010,IMPORT,,"966,66"
OC - Oceanía,2011,IMPORT,,"1184,08"
OC - Oceanía,2012,IMPORT,,"887,03"
OC - Oceanía,2013,IMPORT,,"665,52"
OC - Oceanía,2014,IMPORT,,"888,85"
OC - Oceanía,2015,IMPORT,,"765,67"
OC - Oceanía,2016,IMPORT,,"799,41"
OC - Oceanía,2018,IMPORT,,"1036,00"
OC - Oceanía,2017,IMPORT,,"987,45"
OC - Oceanía,2019,IMPORT,,"796,33"
OC - Oceanía,2020,IMPORT,,"523,23"
Total Mundo,Total seleccionado,IMPORT,,"5731577,39"
Total Mundo,1995,IMPORT,,"87142,30"
Total Mundo,1996,IMPORT,,"94179,48"
Total Mundo,1997,IMPORT,,"109468,69"
Total Mundo,1998,IMPORT,,"122856,11"
Total Mundo,1999,IMPORT,,"139093,71"
Total Mundo,2000,IMPORT,,"169468,10"
Total Mundo,2001,IMPORT,,"173210,12"
Total Mundo,2002,IMPORT,,"175267,87"
Total Mundo,2003,IMPORT,,"185113,68"
Total Mundo,2004,IMPORT,,"208410,70"
Total Mundo,2006,IMPORT,,"262687,19"
Total Mundo,2005,IMPORT,,"232954,47"
Total Mundo,2007,IMPORT,,"285038,31"
Total Mundo,2009,IMPORT,,"206116,17"
Total Mundo,2008,IMPORT,,"283387,76"
Total Mundo,2010,IMPORT,,"240055,85"
Total Mundo,2011,IMPORT,,"263140,74"
Total Mundo,2012,IMPORT,,"257945,63"
Total Mundo,2013,IMPORT,,"252346,78"
Total Mundo,2014,IMPORT,,"265556,61"
Total Mundo,2015,IMPORT,,"274772,33"
Total Mundo,2016,IMPORT,,"273778,60"
Total Mundo,2018,IMPORT,,"319647,33"
Total Mundo,2017,IMPORT,,"302431,16"
Total Mundo,2019,IMPORT,,"322068,69"
Total Mundo,2020,IMPORT,,"225439,02"
