fila,subfila,columna,subcolumna,valor
3 MATERIAS PRIMAS,,2000,IMPORT,"5651736,83"
4 SEMIMANUFACTURAS,,2000,IMPORT,"34008996,97"
5 BIENES DE EQUIPO,,2000,IMPORT,"44971548,41"
6 SECTOR AUTOMOVIL,,2000,IMPORT,"26838782,11"
7 BIENES DE CONSUMO DURADERO,,2000,IMPORT,"4705792,71"
9 OTRAS MERCANCIAS,,2000,IMPORT,"1609980,41"
8 MANUFACTURAS DE CONSUMO,,2000,IMPORT,"15802622,01"
Total seleccionado,,2001,EXPORT,"129771012,81"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2001,EXPORT,"18904942,79"
2 PRODUCTOS ENERGETICOS,,2001,EXPORT,"3762943,67"
3 MATERIAS PRIMAS,,2001,EXPORT,"2540230,75"
4 SEMIMANUFACTURAS,,2001,EXPORT,"28724161,40"
5 BIENES DE EQUIPO,,2001,EXPORT,"27249191,32"
6 SECTOR AUTOMOVIL,,2001,EXPORT,"27808838,99"
7 BIENES DE CONSUMO DURADERO,,2001,EXPORT,"4650078,00"
9 OTRAS MERCANCIAS,,2001,EXPORT,"2190870,10"
8 MANUFACTURAS DE CONSUMO,,2001,EXPORT,"13939755,79"
Total seleccionado,,2001,IMPORT,"173210117,18"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2001,IMPORT,"17286542,27"
2 PRODUCTOS ENERGETICOS,,2001,IMPORT,"19386826,58"
3 MATERIAS PRIMAS,,2001,IMPORT,"5669164,71"
4 SEMIMANUFACTURAS,,2001,IMPORT,"36015591,98"
5 BIENES DE EQUIPO,,2001,IMPORT,"44079214,92"
6 SECTOR AUTOMOVIL,,2001,IMPORT,"27286085,28"
7 BIENES DE CONSUMO DURADERO,,2001,IMPORT,"4843789,89"
9 OTRAS MERCANCIAS,,2001,IMPORT,"1709714,01"
8 MANUFACTURAS DE CONSUMO,,2001,IMPORT,"16933187,55"
Total seleccionado,,2002,EXPORT,"133267677,74"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2002,EXPORT,"20061827,44"
2 PRODUCTOS ENERGETICOS,,2002,EXPORT,"3473678,48"
3 MATERIAS PRIMAS,,2002,EXPORT,"2507637,51"
4 SEMIMANUFACTURAS,,2002,EXPORT,"30348521,34"
5 BIENES DE EQUIPO,,2002,EXPORT,"27131701,94"
6 SECTOR AUTOMOVIL,,2002,EXPORT,"28138118,52"
7 BIENES DE CONSUMO DURADERO,,2002,EXPORT,"4888168,68"
9 OTRAS MERCANCIAS,,2002,EXPORT,"2115690,86"
8 MANUFACTURAS DE CONSUMO,,2002,EXPORT,"14602332,97"
Total seleccionado,,2002,IMPORT,"175267866,17"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2002,IMPORT,"18042379,04"
2 PRODUCTOS ENERGETICOS,,2002,IMPORT,"18967666,42"
3 MATERIAS PRIMAS,,2002,IMPORT,"5443650,13"
4 SEMIMANUFACTURAS,,2002,IMPORT,"38440791,81"
5 BIENES DE EQUIPO,,2002,IMPORT,"42065371,27"
6 SECTOR AUTOMOVIL,,2002,IMPORT,"27736981,31"
7 BIENES DE CONSUMO DURADERO,,2002,IMPORT,"5293199,08"
9 OTRAS MERCANCIAS,,2002,IMPORT,"1537305,00"
8 MANUFACTURAS DE CONSUMO,,2002,IMPORT,"17740522,11"
Total seleccionado,,2003,EXPORT,"138119046,69"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2003,EXPORT,"20972712,93"
2 PRODUCTOS ENERGETICOS,,2003,EXPORT,"4219186,26"
3 MATERIAS PRIMAS,,2003,EXPORT,"2423534,65"
4 SEMIMANUFACTURAS,,2003,EXPORT,"31062137,01"
5 BIENES DE EQUIPO,,2003,EXPORT,"28485314,05"
